time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.1685088e-5	567.78945
1	5.1685088e-5	1.121437e-4	567.78945
2	1.121437e-4	1.828652e-4	553.63536
3	1.828652e-4	2.6559166e-4	376.18981
4	2.6559166e-4	3.6236089e-4	322.16349
5	3.6236089e-4	4.7555674e-4	261.83555
6	4.7555674e-4	6.0796754e-4	237.83006
7	6.0796754e-4	7.6285507e-4	243.41997
8	7.6285507e-4	9.4403473e-4	256.96801
9	9.4403473e-4	0.0011559695	270.21287
10	0.0011559695	0.0014038807	277.10153
11	0.0014038807	0.0016938742	273.73974
12	0.0016938742	0.0020330944	264.82538
13	0.0020330944	0.0024298973	257.00428
14	0.0024298973	0.0028940568	253.90032
15	0.0028940568	0.003437008	257.9608
16	0.003437008	0.0040721251	272.11631
17	0.0040721251	0.0048150535	299.55217
18	0.0048150535	0.0056840929	341.70405
19	0.0056840929	0.0067006531	394.01314
20	0.0067006531	0.0078897736	444.44952
21	0.0078897736	0.0092807469	483.82891
22	0.0092807469	0.010907838	511.60018
23	0.010907838	0.01281113	529.60515
24	0.01281113	0.015037503	536.74011
25	0.015037503	0.017641798	531.41862
26	0.017641798	0.020688182	516.12439
27	0.020688182	0.024251684	487.67546
28	0.024251684	0.028420091	487.67546
29	0.028420091	0.033296088	447.413594
30	0.033296088	0.038999777	447.413594
31	0.038999777	Inf	447.413594
