time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.7382865e-5	1671.8414
1	4.7382865e-5	1.02808986e-4	1671.8414
2	1.02808986e-4	1.6764367e-4	703.5063
3	1.6764367e-4	2.4348407e-4	555.14567
4	2.4348407e-4	3.321983e-4	364.48093
5	3.321983e-4	4.3597176e-4	259.61509
6	4.3597176e-4	5.5736087e-4	209.79512
7	5.5736087e-4	6.993557e-4	196.96545
8	6.993557e-4	8.6545407e-4	204.88241
9	8.6545407e-4	0.0010597479	219.32801
10	0.0010597479	0.0012870223	231.02923
11	0.0012870223	0.001552878	237.84214
12	0.001552878	0.0018638615	240.16888
13	0.0018638615	0.0022276347	239.17221
14	0.0022276347	0.002653158	237.69168
15	0.002653158	0.0031509144	239.50655
16	0.0031509144	0.003733165	248.6862
17	0.003733165	0.0044142521	268.43326
18	0.0044142521	0.0052109543	299.87324
19	0.0052109543	0.0061428961	341.29046
20	0.0061428961	0.007233035	386.63337
21	0.007233035	0.0085082254	426.89798
22	0.0085082254	0.0099998783	456.64345
23	0.0099998783	0.011744742	477.61719
24	0.011744742	0.013785795	491.39056
25	0.013785795	0.01617331	498.46919
26	0.01617331	0.018966111	497.88599
27	0.018966111	0.02223299	485.14505
28	0.02223299	0.026054424	485.14505
29	0.026054424	0.030524549	459.48106
30	0.030524549	0.035753465	459.48106
31	0.035753465	Inf	459.48106
