This datafile contains the following data:
Column
1. Time (kyr BP)
2. Modelled marine oxygen isotope value, relative to present (o/oo)
3. Ice sheet contribution to the marine isotope signal, relative to present (o/oo)
4. Deep-ocean temperature contribution to the marine isotope signal, relative to present (o/oo)
5. Atmospheric surface air temperature relative to present (degC)
6. Deep-ocean temperature relative to present (degC)
7. Eurasian ice volume relative to present (m sea level equivalent)
8. North American ice volume relative to present (m sea level equivalent)
9. Global sea level relative to present (m)
Time	Iso_tot	Iso_ice	Iso_do	Tsurf	Tdo	Ice_eas	Ice_nam	Ice_tot	X
0.0000	-0.0029000	0.010200	-0.013100	-0.047900	0.057000	1.1638	0.11070	1.4588	
0.10010	-0.0035001	0.010400	-0.013900	-0.061400	0.060400	1.2071	0.10910	1.5067	
0.20000	-0.0038999	0.010800	-0.014700	-0.066500	0.063800	1.2378	0.10780	1.5405	
0.30000	-0.0043000	0.011100	-0.015400	-0.070700	0.067000	1.2812	0.11010	1.5930	
0.39990	-0.0047000	0.011400	-0.016100	-0.069400	0.069900	1.3229	0.11040	1.6414	
0.50000	-0.0049001	0.011800	-0.016700	-0.058400	0.072400	1.3693	0.11170	1.6962	
0.60010	-0.0051001	0.012000	-0.017100	-0.045900	0.074400	1.4214	0.11150	1.7560	
0.70000	-0.0050000	0.012400	-0.017400	-0.017400	0.075600	1.4611	0.11280	1.8030	
0.80000	-0.0045999	0.012800	-0.017400	0.034700	0.075800	1.5056	0.11490	1.8430	
0.89990	-0.0038999	0.013300	-0.017200	0.10270	0.074700	1.5702	0.11470	1.9061	
1.0000	-0.0029000	0.013800	-0.016700	0.15800	0.072400	1.6286	0.11470	1.9625	
1.1001	-0.0016001	0.014300	-0.015900	0.21120	0.069100	1.6936	0.11730	2.0348	
1.2000	-0.00020011	0.014700	-0.014900	0.23840	0.065000	1.7733	0.11680	2.1172	
1.3000	0.0015001	0.015300	-0.013800	0.28240	0.060000	1.8375	0.11740	2.1852	
1.3999	0.0032000	0.015700	-0.012500	0.31500	0.054300	1.9089	0.11730	2.2578	
1.5000	0.0053000	0.016400	-0.011100	0.36170	0.048100	1.9704	0.12040	2.3268	
1.6001	0.0074000	0.016900	-0.0095000	0.38810	0.041400	2.0460	0.12310	2.4132	
1.7000	0.0096001	0.017600	-0.0080000	0.40610	0.034700	2.1233	0.12790	2.4921	
1.8000	0.011800	0.018100	-0.0063000	0.48430	0.027600	2.2119	0.12740	2.5814	
1.8999	0.014000	0.018700	-0.0047000	0.54400	0.020300	2.2905	0.13100	2.6735	
2.0000	0.016200	0.019300	-0.0031000	0.55630	0.013700	2.3621	0.13320	2.7572	
2.1001	0.018300	0.020000	-0.0017000	0.56250	0.0074000	2.4535	0.13290	2.8660	
2.2000	0.020200	0.020600	-0.00040000	0.54200	0.0018000	2.5357	0.13800	2.9693	
2.3000	0.021900	0.021200	0.00070000	0.52750	-0.0031000	2.6018	0.13920	3.0499	
2.3999	0.023700	0.022000	0.0017000	0.51120	-0.0075000	2.6738	0.14380	3.1421	
2.5000	0.025200	0.022600	0.0026000	0.49060	-0.011200	2.7653	0.14800	3.2577	
2.6001	0.026600	0.023300	0.0033000	0.46310	-0.014300	2.8417	0.15490	3.3566	
2.7000	0.027900	0.023900	0.0040000	0.44760	-0.017200	2.9319	0.15490	3.4618	
2.8000	0.029400	0.024800	0.0046000	0.44010	-0.019900	3.0148	0.16060	3.5653	
2.8999	0.030800	0.025500	0.0053000	0.43190	-0.022900	3.1125	0.16660	3.6818	
3.0000	0.032400	0.026400	0.0060000	0.44560	-0.026100	3.2006	0.17090	3.7872	
3.1001	0.034200	0.027300	0.0069000	0.45040	-0.029800	3.2973	0.18580	3.9190	
3.2000	0.035900	0.028100	0.0078000	0.43270	-0.033900	3.4006	0.20020	4.0591	
3.3000	0.037800	0.028900	0.0089000	0.40900	-0.038600	3.4868	0.21200	4.1790	
3.3999	0.039900	0.029800	0.010100	0.37290	-0.043800	3.5714	0.22450	4.3012	
3.5000	0.042000	0.030700	0.011300	0.31970	-0.049300	3.6499	0.25180	4.4376	
3.6001	0.044100	0.031400	0.012700	0.24660	-0.055200	3.7274	0.26870	4.5632	
3.7000	0.046300	0.032200	0.014100	0.16120	-0.061400	3.8042	0.28530	4.6909	
3.8000	0.048600	0.033000	0.015600	0.060700	-0.067700	3.8848	0.29920	4.8083	
3.8999	0.050800	0.033800	0.017000	-0.057000	-0.073900	3.9629	0.31980	4.9218	
4.0000	0.053100	0.034700	0.018400	-0.18230	-0.080100	4.0299	0.33880	5.0208	
4.1001	0.055500	0.035700	0.019800	-0.28120	-0.086200	4.1021	0.36180	5.1303	
4.2000	0.057800	0.036600	0.021200	-0.38590	-0.092300	4.2032	0.38730	5.2758	
4.3000	0.060100	0.037500	0.022600	-0.47090	-0.098500	4.2789	0.41030	5.3892	
4.3999	0.062400	0.038300	0.024100	-0.53500	-0.10460	4.3594	0.43630	5.5118	
4.5000	0.064800	0.039300	0.025500	-0.57390	-0.11090	4.4305	0.47230	5.6349	
4.6001	0.067100	0.040100	0.027000	-0.60510	-0.11740	4.5126	0.49600	5.7566	
4.7000	0.069600	0.041100	0.028500	-0.60690	-0.12410	4.5909	0.51590	5.8695	
4.8000	0.072400	0.042200	0.030200	-0.57960	-0.13130	4.6662	0.55310	5.9988	
4.8999	0.075300	0.043300	0.032000	-0.54550	-0.13910	4.7476	0.61420	6.1627	
5.0000	0.079000	0.045000	0.034000	-0.44320	-0.14770	4.8316	0.66570	6.3186	
5.1001	0.082500	0.046500	0.036000	-0.37320	-0.15660	4.9677	0.74920	6.5711	
5.2000	0.086300	0.048100	0.038200	-0.29530	-0.16590	5.0784	0.81270	6.7715	
5.3000	0.090300	0.049900	0.040400	-0.21170	-0.17560	5.1908	0.90470	7.0065	
5.3999	0.094400	0.051800	0.042600	-0.14460	-0.18520	5.3228	0.98870	7.2549	
5.5000	0.098700	0.053900	0.044800	-0.070200	-0.19500	5.4508	1.0828	7.5103	
5.6001	0.10310	0.056000	0.047100	-0.0034000	-0.20470	5.5848	1.2033	7.8030	
5.7000	0.10720	0.058000	0.049200	0.016600	-0.21380	5.7183	1.3284	8.0984	
5.8000	0.11130	0.060200	0.051100	0.026500	-0.22210	5.8358	1.4431	8.3422	
5.8999	0.11500	0.062300	0.052700	-0.0083000	-0.22920	5.9522	1.5727	8.6251	
6.0000	0.11860	0.064500	0.054100	-0.042900	-0.23510	6.0717	1.6915	8.8992	
6.1001	0.12190	0.066800	0.055100	-0.10240	-0.23970	6.2005	1.8224	9.1979	
6.2000	0.12490	0.069000	0.055900	-0.17980	-0.24310	6.3282	1.9428	9.4831	
6.3000	0.12730	0.070900	0.056400	-0.28910	-0.24520	6.4540	2.0644	9.7677	
6.3999	0.12940	0.072800	0.056600	-0.41240	-0.24600	6.5706	2.1647	10.017	
6.5000	0.13160	0.075000	0.056600	-0.51260	-0.24590	6.6735	2.2652	10.251	
6.6001	0.13340	0.077100	0.056300	-0.63750	-0.24500	6.8015	2.3846	10.536	
6.7000	0.13490	0.078900	0.056000	-0.76900	-0.24350	6.8987	2.4945	10.774	
6.8000	0.13660	0.081000	0.055600	-0.87340	-0.24180	7.0013	2.5857	10.997	
6.8999	0.13820	0.083000	0.055200	-0.99370	-0.24010	7.1106	2.7020	11.256	
7.0000	0.13980	0.084900	0.054900	-1.1060	-0.23860	7.1957	2.8185	11.488	
7.1001	0.14170	0.087100	0.054600	-1.2012	-0.23760	7.2869	2.9401	11.733	
7.2000	0.14360	0.089000	0.054600	-1.3051	-0.23720	7.3851	3.0676	11.992	
7.3000	0.14580	0.091100	0.054700	-1.3929	-0.23770	7.4819	3.1780	12.231	
7.3999	0.14850	0.093500	0.055000	-1.4504	-0.23910	7.5767	3.3049	12.485	
