genes	t	S	N	dNdS	dN	dS
XP_015747109.1_aten_0.1.m1.8365.m1	0.2806	378.4	1349.6	0.4435	0.0734	0.1654
XP_015747126.1_aten_0.1.m1.34610.m1	0.1259	971.8	2763.2	0.2460	0.0233	0.0949
XP_015747131.1_aten_0.1.m1.32255.m1	0.1515	248.9	831.1	0.2502	0.0299	0.1194
XP_015747154.1_aten_0.1.m1.16346.m1	0.0677	254.0	793.0	0.0141	0.0013	0.0891
XP_015747155.1_aten_0.1.m1.16345.m1	0.1028	309.6	872.4	0.1025	0.0104	0.1015
XP_015747171.1_aten_0.1.m1.34615.m1	0.1971	480.8	1907.2	0.4965	0.0546	0.1099
XP_015747172.1_aten_0.1.m1.20951.m1	50.0000	276.3	875.7	0.0074	0.5005	
XP_015747201.1_aten_0.1.m1.14788.m1	0.1469	466.5	1339.5	0.2377	0.0268	0.1127
XP_015747204.1_aten_0.1.m1.34618.m1	0.1281	231.1	731.9	0.2278	0.0235	0.1033
XP_015747206.1_aten_0.1.m1.14790.m1	0.2772	122.9	438.1	0.3112	0.0622	0.2000
XP_015747215.1_aten_0.1.m1.9311.m1	0.3749	228.0	603.0	0.7812	0.1161	0.1486
XP_015747219.1_aten_0.1.m1.19828.m1	0.1610	412.5	1267.5	0.4501	0.0413	0.0917
XP_015747222.1_aten_0.1.m1.19831.m1	0.0822	237.9	755.1	0.1098	0.0093	0.0848
XP_015747223.1_aten_0.1.m1.19833.m1	0.0605	134.4	552.6	0.1868	0.0109	0.0583
XP_015747228.1_aten_0.1.m1.19824.m1	0.1077	660.9	1727.1	0.3967	0.0253	0.0637
XP_015747263.1_aten_0.1.m1.1667.m1	0.1697	420.2	1043.8	0.5075	0.0442	0.0872
XP_015747271.1_aten_0.1.m1.34598.m1	0.1245	392.5	1098.5	0.0859	0.0109	0.1271
XP_015747282.1_aten_0.1.m1.7512.m1	0.1468	364.0	1223.0	0.2973	0.0317	0.1067
XP_015747286.1_aten_0.1.m1.7516.m1	0.3177	739.6	2350.4	0.4751	0.0838	0.1763
XP_015747287.1_aten_0.1.m1.7518.m1	0.1217	330.1	986.9	0.1755	0.0186	0.1061
XP_015747288.1_aten_0.1.m1.7515.m1	0.1031	123.7	488.3	0.1297	0.0146	0.1124
